id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,knowledge_count
214613340,KathrynB_FSJ,10.0,14072.0,428.0,434.0,37.0,89.0,38.5396269115239,30-39,739.0,8.0,4,4,8,8.0,4.0,4.0,7.0,2.6869768998995647,1463.4159206653455,0.02789158713131986,0.03571428571428571,0.1,0,135,1.6534776314832276E-4,1.1383926E-4,1.1531785E-4,309,8,0
275907942,LauraBeeMarie,10.0,2752.0,291.0,550.0,14.0,442.0,39.0905610388275,30-39,601.0,6.0,5,12,17,17.0,5.0,12.0,7.0,2.6267157683294275,471.04138926204485,0.030662801525587636,0.058823529411764705,0.12087912,0,135,1.8834347789740047E-4,9.586464E-5,9.710977E-5,263,5,0
381630487,GordWaldie,10.0,2462.0,179.0,314.0,11.0,5.0,41.98809728056229,40-49,633.0,5.0,4,3,7,7.0,4.0,3.0,7.0,3.2129226648811517,24.43601538623132,0.0013314658499004506,0.023809523809523808,0.16666667,0,135,1.7737750545447745E-4,2.99577E-5,3.0346804E-5,309,7,0
69856537,caroldunk,10.0,4994.0,336.0,657.0,8.0,48.0,47.54714732062476,40-49,639.0,7.0,13,23,36,36.0,13.0,23.0,7.0,2.3009708737864076,920.5621862609611,0.09298844076554916,0.018253968253968255,0.040640395,0,135,2.5443314270782313E-4,3.4151776E-4,3.4595357E-4,263,15,2
219007676,NeilJEdmondson,10.0,31112.0,1867.0,1456.0,59.0,64.0,52.59815777709974,50-59,818.0,8.0,101,90,191,191.0,101.0,90.0,6.0,2.48844994978239,10895.059178146435,0.07383929721552418,0.03100027555800496,0.17026056,0,135,0.0014989617014594988,7.0101017E-4,7.101152E-4,53,211,0
368522365,cdmercer7,10.0,1096.0,405.0,1333.0,3.0,216.0,41.812877814306624,40-49,615.0,5.0,4,17,21,21.0,4.0,17.0,7.0,2.66052895882156,184.2958839422208,0.006229125683144941,0.10476190476190476,0.24264705,0,135,1.2154982814055552E-4,4.793232E-5,4.8554884E-5,279,2,0
1275215894,JanineLexx,10.0,90.0,41.0,282.0,0.0,26.0,46.186866858811015,40-49,568.0,4.0,7,8,15,15.0,7.0,8.0,7.0,2.7469032474054234,105.01993178661178,0.011119363848905908,0.03333333333333333,0.10909091,0,135,1.2887801686403065E-4,7.789002E-5,7.8901685E-5,279,14,0
602446013,marshall_rita,10.0,2290.0,222.0,461.0,2.0,297.0,47.137301767785665,40-49,624.0,6.0,25,36,61,61.0,25.0,36.0,7.0,2.453297623033144,2659.571410951027,0.03678037443967128,0.040437158469945354,0.15860598,0,135,4.208979175984604E-4,2.3367006E-4,2.3670506E-4,263,49,0
170361954,Jason_Heisler,10.0,3121.0,1002.0,962.0,15.0,17.0,45.25465933389465,40-49,693.0,6.0,4,5,9,9.0,4.0,5.0,6.0,2.91965182457315,61.009492719261296,0.00583021514823171,0.09722222222222222,0.4,0,135,1.359117965303218E-4,3.594924E-5,3.6416164E-5,53,0,0
192583618,Planetintel,10.0,205.0,139.0,230.0,2.0,0.0,22.894386576694814,20-29,325.0,3.0,0,0,0,0.0,0.0,0.0,7.0,3.250669344042838,0.0,0.0,0.0,0.0,401,690,5.5712890053363746E-5,0.0,6.0693606E-6,405,2,0
