Id,Label,Statuses Count,Followers Count,Friends Count,Listed Count,Favourites Count,Klout Score,Klout Score Bucket,Kred Influence,Kred Outreach,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Clustering Coefficient,Component ID,Strongly-Connected ID,PageRank,Modularity Class,Authority,Hub,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree,Erdös Number
12046772,JProssa,14813.0,1247.0,933.0,29.0,175.0,45.5095160290434,40-49,718.0,7.0,6.0,3.0775709219858154,7378.007927058372,0.10157638854778327,0.02857142857142857,0.10326087,0,110,3.020547797001014E-4,63,5.410084E-4,5.517089E-4,36.0,19.0,17.0,19,17,36,2
989207850,Adriendeclercq,2138.0,42.0,91.0,0.0,8.0,40.989846559573955,40-49,644.0,5.0,4.0,2.2222222222222223,2.9166666666666665,0.0011916963419429636,0.14285714285714285,0.55,73,248,1.0948120256262117E-4,422,1.0820169E-4,1.1034178E-4,8.0,3.0,5.0,3,5,8,8
27295541,MRenee_XO,12920.0,330.0,225.0,0.0,4651.0,42.81907040399552,40-49,744.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,104,249,4.766339181938244E-5,99,0.0,0.0,0.0,0.0,0.0,0,0,0,8
264003758,NadineMBailey,3753.0,490.0,362.0,20.0,14.0,40.31318455742402,40-49,676.0,6.0,8.0,3.4858156028368796,1336.945637997377,0.0815312861703187,0.07971014492753623,0.17368421,0,110,2.0029349367124986E-4,63,5.1395805E-4,5.241235E-4,24.0,18.0,6.0,18,6,24,3
37085947,Sethpt,2056.0,223.0,189.0,4.0,24.0,43.861868700451055,40-49,648.0,5.0,8.0,4.2929964539007095,64.60352638567886,0.007740698201909252,0.1,0.25,0,110,1.0335285792869833E-4,445,1.352521E-4,1.3792723E-4,5.0,4.0,1.0,4,1,5,4
21460797,adamq112,10186.0,482.0,693.0,20.0,153.0,55.38076685330994,50-59,739.0,7.0,7.0,3.247340425531915,9799.974088808454,0.15482822985463154,0.06077694235588972,0.16490486,0,110,3.403384406501594E-4,75,0.0010279161,0.0010206616,57.0,37.0,20.0,37,20,57,3
58023261,fredlamontagne,570.0,140.0,159.0,2.0,8.0,22.52874110226348,20-29,506.0,4.0,0.0,0.0,0.0,0.0023470921339783066,0.0,0.0,0,39,5.109304639811673E-5,101,5.4100845E-5,0.0,1.0,1.0,0.0,1,0,1,4
41043869,JeffClark1969,12214.0,965.0,1997.0,38.0,31.0,63.00385946845616,60-69,722.0,8.0,6.0,2.6963652482269502,56837.820167484446,0.2581122673189134,0.022630147630147632,0.08129899,0,110,3.963185248223385E-4,75,0.0016230253,0.0016551268,144.0,59.0,85.0,59,85,144,3
313332496,DemocracyWatchr,1484.0,891.0,193.0,30.0,5.0,52.23304939957593,50-59,698.0,5.0,7.0,3.43927304964539,16191.727091260454,0.2660566778804698,0.02161422708618331,0.0329891,0,110,5.437411725011777E-4,443,0.002245185,0.0022068357,86.0,82.0,4.0,82,4,86,3
400707920,Melaniedemoor,9925.0,186.0,97.0,0.0,2386.0,44.82152667010107,40-49,737.0,7.0,3.0,1.6666666666666667,39.699999999999996,0.0026258623125794663,0.09340659340659341,0.44642857,73,248,2.067215040769254E-4,422,2.1640338E-4,2.2068356E-4,14.0,7.0,7.0,7,7,14,8
189159758,peeekon,8453.0,1012.0,162.0,0.0,114.0,48.50747703199906,40-49,752.0,7.0,4.0,2.388888888888889,2.5,0.001167868653616623,0.11904761904761904,0.35,73,248,1.2230955088791392E-4,422,1.0820169E-4,1.1034178E-4,7.0,3.0,4.0,3,4,7,8
26548594,JohnGormleyLive,14469.0,9816.0,284.0,236.0,11.0,60.73546840503805,60-69,855.0,8.0,7.0,3.534131205673759,16208.634191018553,0.41729201421326967,0.049895506792058515,0.100566104,0,110,7.56601558778163E-4,63,0.002109933,0.002041323,88.0,77.0,11.0,77,11,88,3
497499405,Ou812I,6632.0,245.0,222.0,8.0,22.0,38.685426133087745,30-39,715.0,7.0,7.0,3.3027482269503547,4729.644503381398,0.3402664341988462,0.07091346153846154,0.35633,0,110,2.3260535092007467E-4,63,9.1971434E-4,9.3790516E-4,65.0,33.0,32.0,33,32,65,3
