id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
77865221,deepus_ex,10,1202,128,479,4,1070,39.6589811067,30-39,514,5,6,18,24,24,6,18,6,2.6122375091,31.6387773188,0.0146870112,0.1539855072,0.36601308,0,59,6.903962118572616E-5,4.742387E-5,4.799912E-5,77,1,0,200,0,0
78069472,LemonadebyLaura,10,10497,598,666,23,96,44.5920857394,40-49,664,7,3,10,13,13,3,10,6,2.8635047067,60.0007985038,0.0042619988,0.1602564103,0.3181818,0,59,7.79709105442743E-5,2.7099353E-5,2.742807E-5,77,0,0,200,0,0
78141614,jbs24,10,1957,61,213,0,6,29.4355627181,20-29,557,5,0,0,0,0,0,0,0,0,0,0,0,0,142,322,4.766339181938244E-5,0,0,138,2,0,201,0,0
78259129,1africa1love,10,1518,104,219,3,27,42.9316949143,40-49,614,5,1,2,3,3,1,2,2,1.3333333333,101.8234252551,9.493101931988185E-5,0.1666666667,0.16666667,0,40,6.482161632919536E-5,1.3549677E-5,1.3714035E-5,131,4,0,200,0,0
78394471,mavatcher,10,478,91,143,0,8,29.4637235725,20-29,577,4,0,0,0,0,0,0,0,0,0,0,0,0,143,324,4.766339181938244E-5,0,0,139,1,0,197,0,0
78627903,ChristianConsrv,10,3245,357,75,15,7,51.9629449642,50-59,697,6,46,12,58,58,46,12,7,2.7418537292,442.8200335279,0.0670422289,0.1228070175,0.23142858,0,59,3.929907054209571E-4,3.1841738E-4,3.222798E-4,175,69,0,200,0,0
78812863,avdhuman,10,63378,1956,1434,11,5,45.7346448154,40-49,649,9,2,1,3,3,2,1,8,3.5104996379,2.6511806832,0.00194812,0,0,0,59,5.30237973953846E-5,2.0324514E-5,2.0571053E-5,175,0,0,201,0,0
78898625,7PinkPanther7,10,195629,1264,884,44,2,47.997087501,40-49,880,11,13,13,26,26,13,13,7,2.6357711803,725.4927106818,0.0198434614,0.0661538462,0.35238096,0,59,1.1359646095822023E-4,9.484774E-5,9.599824E-5,145,30,1,201,1,0.0049751244
78998102,RampageRobinson,10,7,2,12,0,1,11.0632857838,10-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,268,697,4.766339181938244E-5,0,0,275,0,0,10,0,0
79015001,colinmckone,10,591,126,207,3,6,23.5460606736,20-29,479,4,12,26,38,38,12,26,6,2.8859522085,13.3529967475,0.0255789749,0.2880512091,0.5681818,0,59,1.241115671540107E-4,8.80729E-5,8.914123E-5,175,0,0,200,0,0
79262203,BillBrydon,10,5136,258,161,5,44,41.9326828149,40-49,616,7,6,9,15,15,6,9,7,2.8511947864,15.8087687115,0.0129526352,0.1666666667,0.33333334,0,59,6.843193894642676E-5,4.742387E-5,4.799912E-5,25,0,0,201,0,0
79518394,MRevaitNews,10,940,300,388,12,11,44.0943228829,40-49,608,5,8,9,17,17,8,9,7,3.0014482259,144.9902532817,0.0035507829,0.1433823529,0.5090909,0,59,9.19223454182003E-5,6.0973543E-5,6.171316E-5,175,24,0,200,0,0
79929470,MelisaFerreira,10,1867,361,1111,8,9,30.2625471879,30-39,623,6,26,88,114,114,26,88,6,2.4116582187,375.996647089,0.055471818,0.208430368,0.4700191,0,59,1.6312184816732087E-4,1.8292063E-4,1.8513948E-4,25,7,4,198,4,0.0202020202
